Key,year,month,day_of_month,full_date,time_of_game,away_team_name,away_team_league,home_team_name,home_team_league
1,2014,01,01,01/01/2014,7:30 PM,Magic,East,Nets,East
2,2014,01,01,01/01/2014,7:30 PM,Bucks,East,Raptors,East
3,2014,01,01,01/01/2014,8:00 PM,Blazers,West,Bulls,East
4,2014,01,01,01/01/2014,8:00 PM,Lakers,West,Timberwolves,West
5,2014,01,02,01/02/2014,10:00 PM,Hornets,East,Kings,West
6,2014,01,02,01/02/2014,10:30 PM,Grizzlies,West,Clippers,West
7,2014,01,02,01/02/2014,7:00 PM,Blazers,West,Cavaliers,East
8,2014,01,02,01/02/2014,7:30 PM,Spurs,West,Knicks,East
9,2014,01,02,01/02/2014,9:00 PM,Hawks,East,Suns,West
10,2014,01,03,01/03/2014,10:30 PM,Thunder,West,Lakers,West
11,2014,01,03,01/03/2014,7:00 PM,Spurs,West,76ers,East
12,2014,01,03,01/03/2014,7:00 PM,Rockets,West,Magic,East
13,2014,01,03,01/03/2014,7:00 PM,Knicks,East,Wizards,East
14,2014,01,03,01/03/2014,7:30 PM,Pistons,East,Heat,East
15,2014,01,03,01/03/2014,7:30 PM,Timberwolves,West,Nets,East
16,2014,01,03,01/03/2014,8:00 PM,Pacers,East,Bucks,East
17,2014,01,03,01/03/2014,8:00 PM,Raptors,East,Bulls,East
18,2014,01,03,01/03/2014,8:00 PM,Cavaliers,East,Celtics,East
19,2014,01,03,01/03/2014,8:30 PM,Warriors,West,Mavericks,West
20,2014,01,03,01/03/2014,9:00 PM,Pelicans,West,Jazz,West
21,2014,01,03,01/03/2014,9:00 PM,Suns,West,Nuggets,West
22,2014,01,04,01/04/2014,10:30 PM,Thunder,West,Clippers,West
23,2014,01,04,01/04/2014,8:00 PM,Warriors,West,Rockets,West
24,2014,01,05,01/05/2014,10:00 PM,Hawks,East,Blazers,West
25,2014,01,05,01/05/2014,10:30 PM,Hornets,East,Lakers,West
26,2014,01,05,01/05/2014,7:00 PM,Pistons,East,76ers,East
27,2014,01,05,01/05/2014,7:00 PM,Knicks,East,Heat,East
28,2014,01,05,01/05/2014,7:30 PM,Timberwolves,West,Celtics,East
29,2014,01,05,01/05/2014,8:00 PM,Raptors,East,Bucks,East
30,2014,01,05,01/05/2014,8:30 PM,Bulls,East,Mavericks,West
31,2014,01,05,01/05/2014,8:30 PM,Suns,West,Spurs,West
32,2014,01,05,01/05/2014,9:00 PM,Jazz,West,Nuggets,West
33,2014,01,05,01/05/2014,9:30 PM,Wizards,East,Grizzlies,West
34,2014,01,06,01/06/2014,10:00 PM,Nuggets,West,Kings,West
35,2014,01,06,01/06/2014,3:30 PM,Warriors,West,Clippers,West
36,2014,01,06,01/06/2014,6:00 PM,Celtics,East,Nets,East
37,2014,01,06,01/06/2014,7:00 PM,Cavaliers,East,Magic,East
38,2014,01,06,01/06/2014,7:00 PM,Bulls,East,Pacers,East
